City #,POPN,MORT
1,3.34,921.87
2,3.14,997.875
3,3.21,962.354
4,3.41,982.291
5,3.44,1071.289
6,3.45,1030.38
7,3.23,934.7
8,3.29,899.529
9,3.31,1001.902
10,3.36,912.347
11,3.39,1017.613
12,3.2,1024.885
13,3.21,970.467
14,3.29,985.95
15,3.26,958.839
16,3.22,860.101
17,3.35,936.234
18,3.15,871.766
19,3.44,959.221
20,3.53,941.181
21,3.22,891.708
22,3.37,871.338
23,3.45,971.122
24,3.25,887.466
25,3.35,952.529
26,3.23,968.665
27,3.1,919.729
28,3.38,844.053
29,2.99,861.833
30,3.37,989.265
31,3.49,1006.49
32,2.98,861.439
33,3.26,929.15
34,3.28,857.622
35,3.32,961.009
36,3.16,923.234
37,3.36,1113.156
38,3.03,994.648
39,3.32,1015.023
40,3.32,991.29
41,2.99,893.991
42,3.19,938.5
43,3.08,946.185
44,3.32,1025.502
45,3.21,874.281
46,3.23,953.56
47,3.11,839.709
48,2.92,911.701
49,3.36,790.733
50,3.02,899.264
51,3.21,904.155
52,3.34,950.672
53,3.22,972.464
54,3.28,912.202
55,3.25,967.803
56,3.27,823.764
57,3.39,1003.502
58,3.25,895.696
59,3.22,911.817
60,3.48,954.442
